index,cnt,percent
Anime,6.0,15.79
Food,4.0,10.53
Ghosts,4.0,10.53
Heist,1.0,2.63
Relationship,5.0,13.16
Revenge,1.0,2.63
Rom Com,5.0,13.16
Sport,1.0,2.63
Teens,1.0,2.63
Trap,5.0,13.16
War,5.0,13.16
