index,cnt,percent
Action,9.0,18.0
Adventure,1.0,2.0
Animated,9.0,18.0
Comedy,2.0,4.0
Crime,9.0,18.0
Drama,2.0,4.0
Horror,9.0,18.0
Thriller,9.0,18.0
