index,cnt,percent
음악,20,20.2
엔터테인먼트,15,15.15
기타,13,13.13
애니메이션,9,9.09
인물/블로그,7,7.07
게임,6,6.06
요리,6,6.06
먹방,5,5.05
스포츠,4,4.04
키즈,3,3.03
코미디,3,3.03
뷰티,3,3.03
여행/이벤트,2,2.02
과학기술,2,2.02
아티스트,1,1.01
