index,cnt,percent
드라마,55,20.07
로맨스,42,15.33
액션,27,9.85
코미디,25,9.12
모험,23,8.39
TV드라마,21,7.66
애니메이션,13,4.74
판타지,10,3.65
가족,8,2.92
범죄,6,2.19
미스터리,5,1.82
로맨틱코미디,5,1.82
SF,4,1.46
역사,4,1.46
시트콤,4,1.46
스릴러,4,1.46
스포츠,3,1.09
공포,3,1.09
시대극,3,1.09
음악,3,1.09
예능,2,0.73
틴에이저,2,0.73
다큐,1,0.36
전쟁,1,0.36
