index,percent
애니메이션,36.75
범죄,10.22
드라마,33.58
스릴러,41.64
코미디,14.53
로맨스,42.0
공포,6.5
좀비,13.51
음식,10.53
로맨틱코미디,25.51
액션,12.48
스포츠,3.7199999999999998
틴에이저,3.36
전쟁,13.52
모험,8.39
TV드라마,7.66
판타지,3.65
가족,2.92
미스터리,1.82
SF,1.46
역사,1.46
시트콤,1.46
시대극,1.09
음악,1.09
예능,0.73
다큐,0.36
