index,cnt,percent
액션,9.0,18.0
모혐,1.0,2.0
애니메이션,9.0,18.0
코미디,2.0,4.0
범죄,9.0,18.0
드라마,2.0,4.0
공포,9.0,18.0
스릴러,9.0,18.0
