index,cnt,percent
드라마,75,24.92
애니메이션,47,15.61
액션,28,9.3
코미디,27,8.97
로맨스,23,7.64
범죄,17,5.65
예능,15,4.98
모험,13,4.32
판타지,10,3.32
틴에이저,7,2.33
TV드라마,4,1.33
로맨틱코미디,4,1.33
스릴러,4,1.33
미스터리,4,1.33
음악,3,1.0
스포츠,3,1.0
공포,3,1.0
시대극,3,1.0
시트콤,2,0.66
시사교양,2,0.66
역사,2,0.66
다큐,2,0.66
전쟁,2,0.66
SF,1,0.33
