index,cnt,percent
Anime,6.0,16.22
Conspiracy,1.0,2.7
Crime,1.0,2.7
Disapperance,4.0,10.81
Gangsters,1.0,2.7
Planes,2.0,5.41
Revenge,1.0,2.7
Serial killer,1.0,2.7
Shrinking,2.0,5.41
Spies,5.0,13.51
Terorrism,5.0,13.51
Thrillers,1.0,2.7
Trap,2.0,5.41
Zombies,5.0,13.51
